ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region
100303068,"SkyAwani 3 Residence, Setapak",2021,RM 1 300 per month,Kuala Lumpur - Setapak,Condominium,3,,2,800 sq.ft.,Not Furnished,"Playground, Gymnasium, Tennis Court, Squash Court, Sauna, Minimart, Barbeque area, Security, Jogging Track, Parking, Swimming Pool, Lift",,Kuala Lumpur
100303044,Prisma Cheras,,RM 1 250 per month,Kuala Lumpur - Cheras,Condominium,4,1,2,1238 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed",Kuala Lumpur
99544635,The Scott Soho,,RM 1 300 per month,Kuala Lumpur - Old Klang Road,Service Residence,1,1,2,775 sq.ft.,Partially Furnished,"Security, Barbeque area, Parking, Swimming Pool, Gymnasium, Lift, Playground, Multipurpose hall, Minimart",Cooking Allowed,Kuala Lumpur
99582688,Desa Green Serviced Apartment,,RM 1 400 per month,Kuala Lumpur - Taman Desa,Service Residence,3,1,2,715 sq.ft.,Partially Furnished,"Playground, Swimming Pool, Gymnasium, Sauna, Multipurpose hall, Security, Parking, Lift, Minimart","Air-Cond, Cooking Allowed",Kuala Lumpur
100214412,Desa Green,1997,RM 1 700 per month,Kuala Lumpur - Taman Desa,Service Residence,3,1,2,935 sq.ft.,Partially Furnished,"Parking, Playground, Security, Lift, Swimming Pool, Sauna, Minimart, Multipurpose hall, Barbeque area, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
99293887,Residensi Rampai,2016,RM 1 850 per month,Kuala Lumpur - Setapak,Condominium,3,2,2,850 sq.ft.,Fully Furnished,"Gymnasium, Barbeque area, Playground, Swimming Pool, Parking, Security","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur
100302653,Enesta,2021,RM 1 550 per month,Kuala Lumpur - Kepong,Service Residence,3,1,2,916 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house","Cooking Allowed, Air-Cond, Near KTM/LRT",Kuala Lumpur
100302597,Majestic Maxim,2021,RM 1 400 per month,Kuala Lumpur - Cheras,Service Residence,2,1,2,670 sq.ft.,Partially Furnished,"Jogging Track, Playground, Swimming Pool, Parking, Security, Gymnasium, Lift, Barbeque area, Multipurpose hall, Club house","Air-Cond, Near KTM/LRT",Kuala Lumpur
100302608,"Vista Wirajaya 2 Partly Furnished, PV9 Setapak Melati Near LRT, TARC",,RM 1 600 per month,Kuala Lumpur - Setapak,Apartment,3,,2,850 sq.ft.,Partially Furnished,,,Kuala Lumpur
100302605,Majestic Maxim,2021,RM 1 600 per month,Kuala Lumpur - Cheras,Service Residence,3,1,2,819 sq.ft.,Partially Furnished,"Playground, Gymnasium, Lift, Barbeque area, Parking, Swimming Pool, Security, Jogging Track, Sauna, Multipurpose hall","Cooking Allowed, Near KTM/LRT, Air-Cond",Kuala Lumpur
100302776,Bayu Sentul Condominium,2015,RM 1 900 per month,Kuala Lumpur - Sentul,Condominium,3,2,2,1300 sq.ft.,Fully Furnished,,"Washing Machine, Cooking Allowed",Kuala Lumpur
